ID,Skill,Status,Agent,Source,LocalPath,Installed,LastUpdated,Purpose,Notes
skill-032,cek-analyze-issue,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-analyze-issue,2026-04-07,2026-04-07,分析 GitHub issue 并整理技术规格说明,从 context-engineering-kit 深度筛选后补充导入
skill-039,cek-anthropic-skill-best-practices,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-anthropic-skill-best-practices,2026-04-07,2026-04-07,按 Anthropic 最佳实践完善 skill 结构和写法,从 context-engineering-kit 深度筛选后补充导入
skill-033,cek-attach-review-to-pr,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-attach-review-to-pr,2026-04-07,2026-04-07,把评审意见按行挂到 Pull Request 上,从 context-engineering-kit 深度筛选后补充导入
skill-016,cek-brainstorm,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-brainstorm,2026-04-07,2026-04-07,把模糊想法逐步澄清成可执行设计,从 context-engineering-kit 精选并整理导入
skill-027,cek-build-mcp,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-build-mcp,2026-04-07,2026-04-07,指导构建高质量 MCP 服务,从 context-engineering-kit 精选并整理导入
skill-024,cek-commit,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-commit,2026-04-07,2026-04-07,生成结构化提交信息并完成 git commit,从 context-engineering-kit 精选并整理导入
skill-034,cek-compare-worktrees,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-compare-worktrees,2026-04-07,2026-04-07,比较不同 git worktree 或分支之间的差异,从 context-engineering-kit 深度筛选后补充导入
skill-005,cek-context-engineering,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-context-engineering,2026-04-07,2026-04-07,理解和优化 commands、skills、sub-agents 的上下文工程,从 context-engineering-kit 精选并整理导入
skill-040,cek-create-command,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-create-command,2026-04-07,2026-04-07,指导创建新的 command 并补齐结构规范,从 context-engineering-kit 深度筛选后补充导入
skill-041,cek-create-hook,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-create-hook,2026-04-07,2026-04-07,指导创建和配置 hook,从 context-engineering-kit 深度筛选后补充导入
skill-025,cek-create-pr,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-create-pr,2026-04-07,2026-04-07,通过 GitHub CLI 创建规范的 Pull Request,从 context-engineering-kit 精选并整理导入
skill-042,cek-create-rule,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-create-rule,2026-04-07,2026-04-07,把重复问题沉淀成长期可复用的规则,从 context-engineering-kit 深度筛选后补充导入
skill-006,cek-create-skill,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-create-skill,2026-04-07,2026-04-07,指导创建新的 skill 并验证可用性,从 context-engineering-kit 精选并整理导入
skill-035,cek-create-worktree,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-create-worktree,2026-04-07,2026-04-07,创建并初始化 git worktree 用于并行开发,从 context-engineering-kit 深度筛选后补充导入
skill-014,cek-critique,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-critique,2026-04-07,2026-04-07,用多视角评审方式审查当前方案或结果,从 context-engineering-kit 精选并整理导入
skill-044,cek-do-competitively,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-do-competitively,2026-04-07,2026-04-07,让多个子代理竞争生成方案再综合优胜结果,从 context-engineering-kit 深度筛选后补充导入
skill-011,cek-do-in-parallel,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-do-in-parallel,2026-04-07,2026-04-07,并行启动多个子代理处理独立任务,从 context-engineering-kit 精选并整理导入
skill-012,cek-do-in-steps,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-do-in-steps,2026-04-07,2026-04-07,把复杂任务拆成顺序步骤交给子代理执行,从 context-engineering-kit 精选并整理导入
skill-050,cek-five-whys,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-five-whys,2026-04-07,2026-04-07,使用五个为什么方法追查问题根因,从 context-engineering-kit 深度筛选后补充导入
skill-023,cek-fix-tests,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-fix-tests,2026-04-07,2026-04-07,系统化修复当前失败的测试,从 context-engineering-kit 精选并整理导入
skill-052,cek-fpf-query,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-fpf-query,2026-04-07,2026-04-07,查询 FPF 知识库中的假设和结论,从 context-engineering-kit 深度筛选后补充导入
skill-053,cek-fpf-status,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-fpf-status,2026-04-07,2026-04-07,查看当前 FPF 知识库状态,从 context-engineering-kit 深度筛选后补充导入
skill-018,cek-implement,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-implement,2026-04-07,2026-04-07,按计划实施任务并配合校验,从 context-engineering-kit 精选并整理导入
skill-045,cek-judge-with-debate,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-judge-with-debate,2026-04-07,2026-04-07,通过多轮辩论式评审比较多个方案,从 context-engineering-kit 深度筛选后补充导入
skill-048,cek-kaizen,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-kaizen,2026-04-07,2026-04-07,以持续改进思路优化代码设计流程和实现,从 context-engineering-kit 深度筛选后补充导入
skill-013,cek-launch-sub-agent,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-launch-sub-agent,2026-04-07,2026-04-07,按任务复杂度智能启动合适的子代理,从 context-engineering-kit 精选并整理导入
skill-036,cek-load-issues,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-load-issues,2026-04-07,2026-04-07,加载 GitHub 开放 issue 并保存为本地文档,从 context-engineering-kit 深度筛选后补充导入
skill-037,cek-merge-worktree,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-merge-worktree,2026-04-07,2026-04-07,把 worktree 中的改动安全合并回当前分支,从 context-engineering-kit 深度筛选后补充导入
skill-046,cek-multi-agent-patterns,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-multi-agent-patterns,2026-04-07,2026-04-07,设计适合复杂任务的多代理协作模式,从 context-engineering-kit 深度筛选后补充导入
skill-038,cek-notes,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-notes,2026-04-07,2026-04-07,给 git 提交补充 notes 元数据而不改历史,从 context-engineering-kit 深度筛选后补充导入
skill-017,cek-plan,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-plan,2026-04-07,2026-04-07,把草稿任务整理成可实施计划,从 context-engineering-kit 精选并整理导入
skill-009,cek-prompt-engineering,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-prompt-engineering,2026-04-07,2026-04-07,改进 prompts、commands 和技能说明的质量,从 context-engineering-kit 精选并整理导入
skill-051,cek-propose-hypotheses,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-propose-hypotheses,2026-04-07,2026-04-07,围绕问题提出假设并推进完整验证循环,从 context-engineering-kit 深度筛选后补充导入
skill-015,cek-reflect,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-reflect,2026-04-07,2026-04-07,对上一步输出做反思并迭代优化,从 context-engineering-kit 精选并整理导入
skill-030,cek-review-local-changes,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-review-local-changes,2026-04-07,2026-04-07,评审当前未提交代码并给出改进建议,从 context-engineering-kit 深度筛选后补充导入
skill-031,cek-review-pr,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-review-pr,2026-04-07,2026-04-07,使用多代理方式评审 Pull Request,从 context-engineering-kit 深度筛选后补充导入
skill-049,cek-root-cause-tracing,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-root-cause-tracing,2026-04-07,2026-04-07,沿调用链回溯问题根因并定位原始触发点,从 context-engineering-kit 深度筛选后补充导入
skill-028,cek-setup-context7-mcp,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-setup-context7-mcp,2026-04-07,2026-04-07,配置 Context7 MCP 文档服务,从 context-engineering-kit 精选并整理导入
skill-029,cek-setup-serena-mcp,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-setup-serena-mcp,2026-04-07,2026-04-07,配置 Serena MCP 语义检索服务,从 context-engineering-kit 精选并整理导入
skill-021,cek-test-driven-development,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-test-driven-development,2026-04-07,2026-04-07,按测试驱动开发方式实现功能或修复问题,从 context-engineering-kit 精选并整理导入
skill-008,cek-test-prompt,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-test-prompt,2026-04-07,2026-04-07,测试 prompt、commands、skills 的触发和输出质量,从 context-engineering-kit 精选并整理导入
skill-007,cek-test-skill,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-test-skill,2026-04-07,2026-04-07,测试 skill 在真实场景下是否可靠,从 context-engineering-kit 精选并整理导入
skill-043,cek-thought-based-reasoning,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-thought-based-reasoning,2026-04-07,2026-04-07,处理复杂推理任务时提供系统化思考方法,从 context-engineering-kit 深度筛选后补充导入
skill-047,cek-tree-of-thoughts,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-tree-of-thoughts,2026-04-07,2026-04-07,通过树状探索方式系统比较多条解题路径,从 context-engineering-kit 深度筛选后补充导入
skill-054,cek-typescript-best-practices,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-typescript-best-practices,2026-04-07,2026-04-07,把 TypeScript 最佳实践写入项目规则,从 context-engineering-kit 深度筛选后补充导入
skill-020,cek-update-docs,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-update-docs,2026-04-07,2026-04-07,根据本地代码变更同步更新文档,从 context-engineering-kit 精选并整理导入
skill-026,cek-worktrees,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-worktrees,2026-04-07,2026-04-07,使用 git worktree 管理并行开发目录,从 context-engineering-kit 精选并整理导入
skill-019,cek-write-concisely,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-write-concisely,2026-04-07,2026-04-07,把文档写得更清晰简洁专业,从 context-engineering-kit 精选并整理导入
skill-022,cek-write-tests,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-write-tests,2026-04-07,2026-04-07,为本地代码改动补齐测试覆盖,从 context-engineering-kit 精选并整理导入
skill-172,devops-ansible-generator,active,OpenCode,https://github.com/akin-ozer/cc-devops-skills,C:\Users\Administrator\.claude\skills\devops-ansible-generator,2026-04-07,2026-04-07,用于 devops ansible generator 相关任务,从 cc-devops-skills 仓库导入
skill-173,devops-ansible-validator,active,OpenCode,https://github.com/akin-ozer/cc-devops-skills,C:\Users\Administrator\.claude\skills\devops-ansible-validator,2026-04-07,2026-04-07,用于安全审计、漏洞分析和风险检测,从 cc-devops-skills 仓库导入
skill-174,devops-azure-pipelines-generator,active,OpenCode,https://github.com/akin-ozer/cc-devops-skills,C:\Users\Administrator\.claude\skills\devops-azure-pipelines-generator,2026-04-07,2026-04-07,用于部署、基础设施和 DevOps 流程,从 cc-devops-skills 仓库导入
skill-175,devops-azure-pipelines-validator,active,OpenCode,https://github.com/akin-ozer/cc-devops-skills,C:\Users\Administrator\.claude\skills\devops-azure-pipelines-validator,2026-04-07,2026-04-07,用于安全审计、漏洞分析和风险检测,从 cc-devops-skills 仓库导入
skill-176,devops-bash-script-generator,active,OpenCode,https://github.com/akin-ozer/cc-devops-skills,C:\Users\Administrator\.claude\skills\devops-bash-script-generator,2026-04-07,2026-04-07,用于文档写作、说明整理和表达优化,从 cc-devops-skills 仓库导入
skill-177,devops-bash-script-validator,active,OpenCode,https://github.com/akin-ozer/cc-devops-skills,C:\Users\Administrator\.claude\skills\devops-bash-script-validator,2026-04-07,2026-04-07,用于安全审计、漏洞分析和风险检测,从 cc-devops-skills 仓库导入
skill-178,devops-dockerfile-generator,active,OpenCode,https://github.com/akin-ozer/cc-devops-skills,C:\Users\Administrator\.claude\skills\devops-dockerfile-generator,2026-04-07,2026-04-07,用于文档写作、说明整理和表达优化,从 cc-devops-skills 仓库导入
skill-179,devops-dockerfile-validator,active,OpenCode,https://github.com/akin-ozer/cc-devops-skills,C:\Users\Administrator\.claude\skills\devops-dockerfile-validator,2026-04-07,2026-04-07,用于安全审计、漏洞分析和风险检测,从 cc-devops-skills 仓库导入
skill-180,devops-fluentbit-generator,active,OpenCode,https://github.com/akin-ozer/cc-devops-skills,C:\Users\Administrator\.claude\skills\devops-fluentbit-generator,2026-04-07,2026-04-07,用于部署、基础设施和 DevOps 流程,从 cc-devops-skills 仓库导入
skill-181,devops-fluentbit-validator,active,OpenCode,https://github.com/akin-ozer/cc-devops-skills,C:\Users\Administrator\.claude\skills\devops-fluentbit-validator,2026-04-07,2026-04-07,用于安全审计、漏洞分析和风险检测,从 cc-devops-skills 仓库导入
skill-182,devops-github-actions-generator,active,OpenCode,https://github.com/akin-ozer/cc-devops-skills,C:\Users\Administrator\.claude\skills\devops-github-actions-generator,2026-04-07,2026-04-07,用于 Git 流程、分支协作和 Issue/PR 管理,从 cc-devops-skills 仓库导入
skill-183,devops-github-actions-validator,active,OpenCode,https://github.com/akin-ozer/cc-devops-skills,C:\Users\Administrator\.claude\skills\devops-github-actions-validator,2026-04-07,2026-04-07,用于安全审计、漏洞分析和风险检测,从 cc-devops-skills 仓库导入
skill-184,devops-gitlab-ci-generator,active,OpenCode,https://github.com/akin-ozer/cc-devops-skills,C:\Users\Administrator\.claude\skills\devops-gitlab-ci-generator,2026-04-07,2026-04-07,用于 Git 流程、分支协作和 Issue/PR 管理,从 cc-devops-skills 仓库导入
skill-185,devops-gitlab-ci-validator,active,OpenCode,https://github.com/akin-ozer/cc-devops-skills,C:\Users\Administrator\.claude\skills\devops-gitlab-ci-validator,2026-04-07,2026-04-07,用于安全审计、漏洞分析和风险检测,从 cc-devops-skills 仓库导入
skill-186,devops-helm-generator,active,OpenCode,https://github.com/akin-ozer/cc-devops-skills,C:\Users\Administrator\.claude\skills\devops-helm-generator,2026-04-07,2026-04-07,用于 devops helm generator 相关任务,从 cc-devops-skills 仓库导入
skill-187,devops-helm-validator,active,OpenCode,https://github.com/akin-ozer/cc-devops-skills,C:\Users\Administrator\.claude\skills\devops-helm-validator,2026-04-07,2026-04-07,用于安全审计、漏洞分析和风险检测,从 cc-devops-skills 仓库导入
skill-188,devops-jenkinsfile-generator,active,OpenCode,https://github.com/akin-ozer/cc-devops-skills,C:\Users\Administrator\.claude\skills\devops-jenkinsfile-generator,2026-04-07,2026-04-07,用于部署、基础设施和 DevOps 流程,从 cc-devops-skills 仓库导入
skill-189,devops-jenkinsfile-validator,active,OpenCode,https://github.com/akin-ozer/cc-devops-skills,C:\Users\Administrator\.claude\skills\devops-jenkinsfile-validator,2026-04-07,2026-04-07,用于安全审计、漏洞分析和风险检测,从 cc-devops-skills 仓库导入
skill-190,devops-k8s-debug,active,OpenCode,https://github.com/akin-ozer/cc-devops-skills,C:\Users\Administrator\.claude\skills\devops-k8s-debug,2026-04-07,2026-04-07,用于部署、基础设施和 DevOps 流程,从 cc-devops-skills 仓库导入
skill-191,devops-k8s-yaml-generator,active,OpenCode,https://github.com/akin-ozer/cc-devops-skills,C:\Users\Administrator\.claude\skills\devops-k8s-yaml-generator,2026-04-07,2026-04-07,用于部署、基础设施和 DevOps 流程,从 cc-devops-skills 仓库导入
skill-192,devops-k8s-yaml-validator,active,OpenCode,https://github.com/akin-ozer/cc-devops-skills,C:\Users\Administrator\.claude\skills\devops-k8s-yaml-validator,2026-04-07,2026-04-07,用于安全审计、漏洞分析和风险检测,从 cc-devops-skills 仓库导入
skill-193,devops-logql-generator,active,OpenCode,https://github.com/akin-ozer/cc-devops-skills,C:\Users\Administrator\.claude\skills\devops-logql-generator,2026-04-07,2026-04-07,用于 devops logql generator 相关任务,从 cc-devops-skills 仓库导入
skill-194,devops-loki-config-generator,active,OpenCode,https://github.com/akin-ozer/cc-devops-skills,C:\Users\Administrator\.claude\skills\devops-loki-config-generator,2026-04-07,2026-04-07,用于 devops loki config generator 相关任务,从 cc-devops-skills 仓库导入
skill-195,devops-makefile-generator,active,OpenCode,https://github.com/akin-ozer/cc-devops-skills,C:\Users\Administrator\.claude\skills\devops-makefile-generator,2026-04-07,2026-04-07,用于 devops makefile generator 相关任务,从 cc-devops-skills 仓库导入
skill-196,devops-makefile-validator,active,OpenCode,https://github.com/akin-ozer/cc-devops-skills,C:\Users\Administrator\.claude\skills\devops-makefile-validator,2026-04-07,2026-04-07,用于安全审计、漏洞分析和风险检测,从 cc-devops-skills 仓库导入
skill-197,devops-promql-generator,active,OpenCode,https://github.com/akin-ozer/cc-devops-skills,C:\Users\Administrator\.claude\skills\devops-promql-generator,2026-04-07,2026-04-07,用于代码评审、差异检查和问题发现,从 cc-devops-skills 仓库导入
skill-198,devops-promql-validator,active,OpenCode,https://github.com/akin-ozer/cc-devops-skills,C:\Users\Administrator\.claude\skills\devops-promql-validator,2026-04-07,2026-04-07,用于安全审计、漏洞分析和风险检测,从 cc-devops-skills 仓库导入
skill-199,devops-terraform-generator,active,OpenCode,https://github.com/akin-ozer/cc-devops-skills,C:\Users\Administrator\.claude\skills\devops-terraform-generator,2026-04-07,2026-04-07,用于代码评审、差异检查和问题发现,从 cc-devops-skills 仓库导入
skill-200,devops-terraform-validator,active,OpenCode,https://github.com/akin-ozer/cc-devops-skills,C:\Users\Administrator\.claude\skills\devops-terraform-validator,2026-04-07,2026-04-07,用于安全审计、漏洞分析和风险检测,从 cc-devops-skills 仓库导入
skill-201,devops-terragrunt-generator,active,OpenCode,https://github.com/akin-ozer/cc-devops-skills,C:\Users\Administrator\.claude\skills\devops-terragrunt-generator,2026-04-07,2026-04-07,用于 devops terragrunt generator 相关任务,从 cc-devops-skills 仓库导入
skill-202,devops-terragrunt-validator,active,OpenCode,https://github.com/akin-ozer/cc-devops-skills,C:\Users\Administrator\.claude\skills\devops-terragrunt-validator,2026-04-07,2026-04-07,用于安全审计、漏洞分析和风险检测,从 cc-devops-skills 仓库导入
skill-002,find-skills,active,OpenCode,https://github.com/vercel-labs/skills,C:\Users\Administrator\.claude\skills\find-skills,2026-04-03,2026-04-03,搜索并安装更多 agent skills,通过 npx skills add 安装
skill-001,humanizer,active,OpenCode,https://github.com/blader/humanizer,C:\Users\Administrator\.claude\skills\humanizer,2026-04-03,2026-04-03,把文字改写得更自然更像人写的,从 GitHub 导入并按 OpenCode 触发方式做过调整
